yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
A0A0A0MT22	P08575	PTPRC_HUMAN	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	PTPRC CD45	activation of MAPK activity [GO:0000187]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; bone marrow development [GO:0048539]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell cycle phase transition [GO:0044770]; cell surface receptor signaling pathway [GO:0007166]; cellular response to extracellular stimulus [GO:0031668]; defense response to virus [GO:0051607]; dephosphorylation [GO:0016311]; DN2 thymocyte differentiation [GO:1904155]; hematopoietic progenitor cell differentiation [GO:0002244]; heterotypic cell-cell adhesion [GO:0034113]; leukocyte cell-cell adhesion [GO:0007159]; natural killer cell differentiation [GO:0001779]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of microglial cell activation [GO:1903979]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative thymic T cell selection [GO:0045060]; neutrophil degranulation [GO:0043312]; plasma membrane raft distribution [GO:0044855]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of antigen receptor-mediated signaling pathway [GO:0050857]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of hematopoietic stem cell migration [GO:2000473]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein tyrosine phosphatase activity [GO:1903615]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive thymic T cell selection [GO:0045059]; protein dephosphorylation [GO:0006470]; regulation of cell cycle [GO:0051726]; regulation of gene expression [GO:0010468]; regulation of interleukin-8 production [GO:0032677]; regulation of phagocytosis [GO:0050764]; regulation of protein tyrosine kinase activity [GO:0061097]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; release of sequestered calcium ion into cytosol [GO:0051209]; response to gamma radiation [GO:0010332]; stem cell development [GO:0048864]; T cell activation [GO:0042110]; T cell differentiation [GO:0030217]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]; viral process [GO:0016032]	ankyrin binding [GO:0030506]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; signaling receptor binding [GO:0005102]; spectrin binding [GO:0030507]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]	bleb [GO:0032059]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane microdomain [GO:0098857]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]
A0A0A0MT49	A0A0A0MT49	A0A0A0MT49_HUMAN	Transcription activator BRG1	SMARCA4	ATP-dependent chromatin remodeling [GO:0043044]; regulation of transcription, DNA-templated [GO:0006355]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; histone binding [GO:0042393]; hydrolase activity [GO:0016787]; nucleosome-dependent ATPase activity [GO:0070615]	SWI/SNF complex [GO:0016514]
A0A0A0MT60	A0A0A0MT60	A0A0A0MT60_HUMAN	Deleted.				
A0A0B4J1S8	A0A0B4J1S8	A0A0B4J1S8_HUMAN	Phosphatidylinositol 4-kinase beta	PI4KB	phosphatidylinositol-mediated signaling [GO:0048015]; phosphatidylinositol phosphorylation [GO:0046854]	kinase activity [GO:0016301]	
A0A0B4J1W0	A0A0B4J1W0	A0A0B4J1W0_HUMAN	Mediator complex subunit 24 (Mediator of RNA polymerase II transcription subunit 24)	MED24 THRAP4 hCG_30017		histone acetyltransferase activity [GO:0004402]; protein-containing complex binding [GO:0044877]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]	mediator complex [GO:0016592]; ubiquitin ligase complex [GO:0000151]
A0A0G2JH68	A0A0G2JH68	A0A0G2JH68_HUMAN	Protein diaphanous homolog 1	DIAPH1	actin filament polymerization [GO:0030041]; positive regulation of cell migration [GO:0030335]	actin binding [GO:0003779]; small GTPase binding [GO:0031267]	
A0A0G2JML1	A0A0G2JML1	A0A0G2JML1_HUMAN	Leukocyte immunoglobulin-like receptor subfamily B member 4	LILRB4			integral component of membrane [GO:0016021]
A0A0U1RQK7	A0A0U1RQK7	A0A0U1RQK7_HUMAN	Eukaryotic translation initiation factor 4 gamma 3	EIF4G3		RNA cap binding [GO:0000339]; translation initiation factor activity [GO:0003743]	
A0A140T913	A0A140T913	A0A140T913_HUMAN	HLA class I histocompatibility antigen, A alpha chain	HLA-A	antigen processing and presentation [GO:0019882]; immune response [GO:0006955]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1B0GTU4	A0A1B0GTU4	A0A1B0GTU4_HUMAN	Paxillin	PXN	cell-matrix adhesion [GO:0007160]	metal ion binding [GO:0046872]	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; focal adhesion [GO:0005925]
A0A1C7CYX1	A0A1C7CYX1	A0A1C7CYX1_HUMAN	Mitotic deacetylase-associated SANT domain protein	MIDEAS			nucleoplasm [GO:0005654]
A0JLT2	A0JLT2	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	MED19 LCMR1	positive regulation of transcription by RNA polymerase II [GO:0045944]	transcription coregulator activity [GO:0003712]; transcription factor binding [GO:0008134]	mediator complex [GO:0016592]
A1X283	A1X283	SPD2B_HUMAN	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	adipose tissue development [GO:0060612]; bone development [GO:0060348]; cell differentiation [GO:0030154]; extracellular matrix disassembly [GO:0022617]; eye development [GO:0001654]; heart development [GO:0007507]; podosome assembly [GO:0071800]; protein localization to membrane [GO:0072657]; skeletal system development [GO:0001501]; superoxide metabolic process [GO:0006801]	molecular adaptor activity [GO:0060090]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-5-phosphate binding [GO:0010314]; SH2 domain binding [GO:0042169]; superoxide-generating NADPH oxidase activator activity [GO:0016176]	cell junction [GO:0030054]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; podosome [GO:0002102]
A2RUF3	O75044	SRGP2_HUMAN	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Rho GTPase-activating protein 34)	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A	actin filament severing [GO:0051014]; dendritic spine development [GO:0060996]; extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration [GO:0021816]; filopodium assembly [GO:0046847]; lamellipodium assembly involved in ameboidal cell migration [GO:0003363]; negative regulation of cell migration [GO:0030336]; negative regulation of neuron migration [GO:2001223]; neuron projection morphogenesis [GO:0048812]; positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]; substrate adhesion-dependent cell spreading [GO:0034446]	GTPase activator activity [GO:0005096]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine head [GO:0044327]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]
A6NC98	A6NC98	CC88B_HUMAN	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)	CCDC88B BRLZ	cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; defense response to protozoan [GO:0042832]; positive regulation of cytokine production [GO:0001819]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell proliferation [GO:0042102]	dynein light intermediate chain binding [GO:0051959]; microtubule binding [GO:0008017]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]
A6NFI3	A6NFI3	ZN316_HUMAN	Zinc finger protein 316	ZNF316	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]
A6NHB5	A6NHB5	A6NHB5_HUMAN	Zinc finger MYM-type protein 3	ZMYM3		zinc ion binding [GO:0008270]	nucleoplasm [GO:0005654]
A6NIW2	A6NIW2	A6NIW2_HUMAN	Dedicator of cytokinesis protein 11	DOCK11	small GTPase mediated signal transduction [GO:0007264]	guanyl-nucleotide exchange factor activity [GO:0005085]	
A8K727	A8K727	A8K727_HUMAN	Pleckstrin homology domain-containing family A member 2 (cDNA FLJ75843, highly similar to Homo sapiens pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2 (PLEKHA2), mRNA)	PLEKHA2		PDZ domain binding [GO:0030165]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]	
A8MXP9	A8MXP9	A8MXP9_HUMAN	Matrin-3	MATR3		RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
A9Z1X7	A9Z1X7	A9Z1X7_HUMAN	Serine/arginine repetitive matrix protein 1	SRRM1	mRNA processing [GO:0006397]		nuclear speck [GO:0016607]
B1AKJ5	B1AKJ5	B1AKJ5_HUMAN	Deleted.				
B5ME19	B5ME19	EIFCL_HUMAN	Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3CL	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]
C9JFV4	C9JFV4	C9JFV4_HUMAN	Modulator of non-genomic activity of estrogen receptor (Proline-, glutamic acid- and leucine-rich protein 1)	PELP1			cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
D3DTX6	Q96SB3	NEB2_HUMAN	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	PPP1R9B PPP1R6	actin filament depolymerization [GO:0030042]; actin filament organization [GO:0007015]; aging [GO:0007568]; calcium-mediated signaling [GO:0019722]; cell cycle arrest [GO:0007050]; cell migration [GO:0016477]; cellular response to drug [GO:0035690]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to estradiol stimulus [GO:0071392]; cellular response to morphine [GO:0071315]; cellular response to peptide [GO:1901653]; cerebral cortex development [GO:0021987]; dendrite development [GO:0016358]; developmental process involved in reproduction [GO:0003006]; filopodium assembly [GO:0046847]; hippocampus development [GO:0021766]; learning [GO:0007612]; male mating behavior [GO:0060179]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of cell growth [GO:0030308]; neuron projection development [GO:0031175]; positive regulation of protein localization to actin cortical patch [GO:1904372]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein localization to actin cytoskeleton [GO:1903119]; protein localization to cell periphery [GO:1990778]; regulation of cell growth by extracellular stimulus [GO:0001560]; regulation of cell population proliferation [GO:0042127]; regulation of exit from mitosis [GO:0007096]; regulation of opioid receptor signaling pathway [GO:2000474]; regulation of protein phosphorylation [GO:0001932]; reproductive system development [GO:0061458]; response to amphetamine [GO:0001975]; response to clozapine [GO:0097338]; response to immobilization stress [GO:0035902]; response to kainic acid [GO:1904373]; response to L-phenylalanine derivative [GO:1904386]; response to nicotine [GO:0035094]; response to prostaglandin E [GO:0034695]; response to steroid hormone [GO:0048545]; RNA splicing [GO:0008380]	actin filament binding [GO:0051015]; D2 dopamine receptor binding [GO:0031749]; ion channel binding [GO:0044325]; kinase binding [GO:0019900]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein phosphatase 1 binding [GO:0008157]; protein phosphatase inhibitor activity [GO:0004864]	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytoplasmic side of dendritic spine plasma membrane [GO:1990780]; dendrite [GO:0030425]; dendritic spine head [GO:0044327]; dendritic spine neck [GO:0044326]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein phosphatase type 1 complex [GO:0000164]; ruffle membrane [GO:0032587]
D6REX3	D6REX3	D6REX3_HUMAN	Protein transport protein Sec31A	SEC31A	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]		COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytosol [GO:0005829]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
E7EPK1	E7EPK1	E7EPK1_HUMAN	Septin	SEPTIN7	spermatogenesis [GO:0007283]	GTP binding [GO:0005525]	cleavage furrow [GO:0032154]; condensed chromosome kinetochore [GO:0000777]; midbody [GO:0030496]; motile cilium [GO:0031514]; septin complex [GO:0031105]; spindle [GO:0005819]
E7ERS3	E7ERS3	E7ERS3_HUMAN	Zinc finger CCCH domain-containing protein 18	ZC3H18			nuclear speck [GO:0016607]
E7EVA0	E7EVA0	E7EVA0_HUMAN	Microtubule-associated protein	MAP4	microtubule cytoskeleton organization [GO:0000226]	microtubule binding [GO:0008017]	cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]
E7EWR4	E7EWR4	E7EWR4_HUMAN	Cleavage stimulation factor subunit 2	CSTF2	cellular response to nerve growth factor stimulus [GO:1990090]; mRNA polyadenylation [GO:0006378]	RNA binding [GO:0003723]	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
E7EX17	E7EX17	E7EX17_HUMAN	Eukaryotic translation initiation factor 4B	EIF4B	eukaryotic translation initiation factor 4F complex assembly [GO:0097010]	RNA strand annealing activity [GO:0033592]	cytosol [GO:0005829]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; postsynapse [GO:0098794]
E9PAU2	E9PAU2	E9PAU2_HUMAN	Ribonucleoprotein PTB-binding 1	RAVER1		RNA binding [GO:0003723]	
E9PAV3	E9PAV3	NACAM_HUMAN	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	NACA	protein targeting to membrane [GO:0006612]	DNA binding [GO:0003677]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]
E9PB61	E9PB61	E9PB61_HUMAN	THO complex subunit 4	ALYREF		RNA binding [GO:0003723]	nuclear speck [GO:0016607]
E9PF32	E9PF32	E9PF32_HUMAN	DENN domain-containing protein 3	DENND3	cellular protein catabolic process [GO:0044257]; endosome to lysosome transport [GO:0008333]	guanyl-nucleotide exchange factor activity [GO:0005085]	
E9PRY8	E9PRY8	E9PRY8_HUMAN	Elongation factor 1-delta	EEF1D		translation elongation factor activity [GO:0003746]	cytosol [GO:0005829]; eukaryotic translation elongation factor 1 complex [GO:0005853]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]
F1T0I1	F1T0I1	F1T0I1_HUMAN	Protein transport protein sec16	SEC16A	autophagy [GO:0006914]; COPII vesicle coating [GO:0048208]; protein transport [GO:0015031]		endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]
F2Z2W7	F2Z2W7	F2Z2W7_HUMAN	tRNA (uracil-5-)-methyltransferase homolog A	TRMT2A	RNA processing [GO:0006396]	RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]	
F5H5P2	F5H5P2	F5H5P2_HUMAN	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain)		branched-chain amino acid catabolic process [GO:0009083]	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]; alpha-ketoacid dehydrogenase activity [GO:0003826]	
F8W930	F8W930	F8W930_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 2	IGF2BP2	mRNA transport [GO:0051028]	mRNA binding [GO:0003729]	nucleus [GO:0005634]
G8JLB6	G8JLB6	G8JLB6_HUMAN	Heterogeneous nuclear ribonucleoprotein H	HNRNPH1		RNA binding [GO:0003723]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]
H0YL70	H0YL70	H0YL70_HUMAN	Transducin-like enhancer protein 3	TLE3	regulation of transcription, DNA-templated [GO:0006355]; Wnt signaling pathway [GO:0016055]		nucleoplasm [GO:0005654]
H3BQK9	H3BQK9	H3BQK9_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	MACF1	intermediate filament cytoskeleton organization [GO:0045104]	actin binding [GO:0003779]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]
I3L0A0	I3L0A0	I3L0A0_HUMAN	HCG2044781 (PEDS1-UBE2V1 readthrough)	PEDS1-UBE2V1 hCG_2044781	fatty acid metabolic process [GO:0006631]		integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]
I3L0E3	I3L0E3	I3L0E3_HUMAN	HCG1984214, isoform CRA_a	hCG_1984214	regulation of transcription, DNA-templated [GO:0006355]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	mitochondrial small ribosomal subunit [GO:0005763]
I3L1Q2	I3L1Q2	I3L1Q2_HUMAN	B-cell CLL/lymphoma 7 protein family member C (Fragment)	BCL7C			
I3L4Q0	I3L4Q0	I3L4Q0_HUMAN	HCG1818442, isoform CRA_a (Mapk-regulated corepressor-interacting protein 1)	MCRIP1 hCG_1818442			cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
J3KMZ8	J3KMZ8	J3KMZ8_HUMAN	Zinc finger protein ubi-d4	DPF2		metal ion binding [GO:0046872]	centrosome [GO:0005813]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]
J3KNN5	J3KNN5	J3KNN5_HUMAN	Deleted.				
J3KTL2	J3KTL2	J3KTL2_HUMAN	Serine/arginine-rich splicing factor 1 (Splicing factor, arginine/serine-rich 1)	SRSF1 SFRS1 hCG_1774411	alternative mRNA splicing, via spliceosome [GO:0000380]; liver regeneration [GO:0097421]; oligodendrocyte differentiation [GO:0048709]; positive regulation of RNA splicing [GO:0033120]	protein kinase B binding [GO:0043422]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
J3QR44	P21127	CD11B_HUMAN	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	CDK11B CDC2L1 CDK11 PITSLREA PK58	apoptotic process [GO:0006915]; mitotic cell cycle [GO:0000278]; protein phosphorylation [GO:0006468]; regulation of cell growth [GO:0001558]; regulation of mitotic cell cycle [GO:0007346]; regulation of mRNA processing [GO:0050684]; regulation of transcription, DNA-templated [GO:0006355]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
J3QRS3	J3QRS3	J3QRS3_HUMAN	Myosin regulatory light chain 12A (Myosin regulatory light chain MRCL3, isoform CRA_b)	MYL12A MRCL3 hCG_2045956		calcium ion binding [GO:0005509]	
J3QS41	J3QS41	J3QS41_HUMAN	Probable helicase with zinc finger domain	HELZ		helicase activity [GO:0004386]; metal ion binding [GO:0046872]	
